#Bait,PreyAccesion,GeneID,HEKScore,JurkatScore,ScoreAverage,Protein Name   (**also co-purified with >1 unrelated membrane proteins),Gene Symbol,Gene Synonyms
GP120,Q14697,23193,0.909,0.732,0.82,GANAB_HUMAN Neutral alpha-glucosidase AB precursor,GANAB,KIAA0088; G2AN
GP120,P14625,7184,0.672,0.91,0.791,ENPL_HUMAN Endoplasmin precursor,HSP90B1,GRP94; TRA1
GP120,Q14257,5955,0.352,0.994,0.673,**RCN2_HUMAN Reticulocalbin-2 precursor,RCN2,ERC55
GP120,P14314,5589,0.935,0.36,0.647,GLU2B_HUMAN Glucosidase 2 subunit beta precursor,PRKCSH,G19P1
GP120,P27797,811,0.301,0.989,0.645,CALR_HUMAN Calreticulin precursor,CALR,CRTC
GP120,Q3MHD2,124801,0.259,0.842,0.55,LSM12_HUMAN Protein LSM12 homolog,LSM12,-
GP120,Q8NBJ7,25870,0,0.991,0.496,SUMF2_HUMAN Sulfatase-modifying factor 2 precursor,SUMF2,PSEC0171; UNQ1968/PRO4500
GP120,Q8NBS9,81567,0,0.986,0.493,TXND5_HUMAN Thioredoxin domain-containing protein 5 precursor,TXNDC5,UNQ364/PRO700; TLP46
GP120,Q13112,8208,0,0.959,0.479,CAF1B_HUMAN Chromatin assembly factor 1 subunit B,CHAF1B,MPP7; MPHOSPH7; CAF1P60; CAF1A
GP120,P50454,871,0,0.954,0.477,SERPH_HUMAN Serpin H1 precursor,SERPINH1,PIG14; SERPINH2; CBP1; HSP47; CBP2
GP120,Q92598,10808,0,0.947,0.473,HS105_HUMAN Heat shock protein 105 kDa,HSPH1,KIAA0201; HSP110; HSP105
GP120,Q8NBJ5,79709,0,0.934,0.467,GT251_HUMAN Glycosyltransferase 25 family member 1 precursor,GLT25D1,PSEC0241
GP120,P05107,3689,0,0.919,0.46,ITB2_HUMAN Integrin beta-2 precursor,ITGB2,MFI7; CD18
GP120,P48741,3311,0.072,0.835,0.453,**HSP77_HUMAN Putative heat shock 70 kDa protein 7,HSPA7,HSP70B
GP120,Q9H0U3,84061,0,0.907,0.453,IAG2_HUMAN Implantation-associated protein precursor,MAGT1,IAG2; UNQ628/PRO1244; PSEC0084
GP120,Q96EE3,81929,0,0.904,0.452,SEH1L_HUMAN Nucleoporin SEH1-like,SEH1L,SEC13L; SEH1
GP120,P28072,5694,0.754,0.15,0.452,**PSB6_HUMAN Proteasome subunit beta type-6 precursor,PSMB6,Y; LMPY
GP120,Q9BZQ6,80267,0,0.898,0.449,EDEM3_HUMAN ER degradation-enhancing alpha-mannosidase-like 3,EDEM3,C1orf22
GP120,P17066,3310,0.132,0.762,0.447,**HSP76_HUMAN Heat shock 70 kDa protein 6,HSPA6,HSP70B'
GP120,O14967,1047,0,0.887,0.444,CLGN_HUMAN Calmegin precursor,CLGN,-
GP120,Q13217,5611,0,0.88,0.44,DNJC3_HUMAN DnaJ homolog subfamily C member 3,DNAJC3,PRKRI; P58IPK
GP120,P13612,3676,0,0.878,0.439,ITA4_HUMAN Integrin alpha-4 precursor,ITGA4,CD49D
GP120,Q13724,7841,0,0.876,0.438,GCS1_HUMAN Mannosyl-oligosaccharide glucosidase,MOGS,-
GP120,Q9BV68,55658,0,0.847,0.424,RN126_HUMAN RING finger protein 126,RNF126,-
GP120,Q14554,10954,0,0.847,0.424,PDIA5_HUMAN Protein disulfide-isomerase A5 precursor,PDIA5,PDIR
GP120,Q9BTV4,79188,0,0.845,0.423,TMM43_HUMAN Transmembrane protein 43,TMEM43,UNQ2564/PRO6244
GP120,O14656,1861,0,0.846,0.423,TOR1A_HUMAN Torsin-1A precursor,TOR1A,DYT1; DQ2
GP120,P48723,6782,0,0.847,0.423,STCH_HUMAN Stress 70 protein chaperone microsome-associated 60 kDa protein precursor,HSPA13,-
GP120,P26196,1656,0,0.847,0.423,DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6,DDX6,HLR2; RCK
GP120,O15234,22794,0,0.847,0.423,CASC3_HUMAN Protein CASC3,CASC3,MLN51
GP120,Q12805,2202,0,0.845,0.422,FBLN3_HUMAN EGF-containing fibulin-like extracellular matrix protein 1 precursor,EFEMP1,FBNL
GP120,Q9BUT9,84331,0,0.842,0.421,CP014_HUMAN Uncharacterized protein C16orf14,FAM195A,C16orf14
GP120,Q9NYJ8,23118,0,0.839,0.42,TAB2_HUMAN Mitogen-activated protein kinase kinase kinase 7-interacting protein 2,TAB2,KIAA0733; MAP3K7IP2
GP120,Q9UN86,9908,0,0.838,0.419,G3BP2_HUMAN Ras GTPase-activating protein-binding protein 2,G3BP2,KIAA0660
GP120,Q8NFQ8,163590,0,0.839,0.419,TOIP2_HUMAN Torsin-1A-interacting protein 2,TOR1AIP2,LULL1
GP120,Q15165,5445,0.828,0,0.414,PON2_HUMAN Serum paraoxonase/arylesterase 2,PON2,-
GP120,P61619,29927,0,0.822,0.411,S61A1_HUMAN Protein transport protein Sec61 subunit alpha isoform 1,SEC61A1,SEC61A1; SEC61A
GP120,P01130,3949,0,0.82,0.41,LDLR_HUMAN Low-density lipoprotein receptor precursor,LDLR,-
GP120,P04439,3105,0,0.813,0.407,"1A03_HUMAN HLA class I histocompatibility antigen, A-3 alpha chain precursor",HLA-A,HLAA
GP120,Q9BS26,23071,0,0.806,0.403,TXND4_HUMAN Thioredoxin domain-containing protein 4 precursor = ERP44,ERP44,KIAA0573; UNQ532/PRO1075
GP120,P51665,5713,0.802,0,0.401,**PSD7_HUMAN 26S proteasome non-ATPase regulatory subunit 7,PSMD7,MOV34L
GP120,Q5BKY9,257415,0,0.793,0.397,F133B_HUMAN Protein FAM133B,FAM133B,-
GP120,O15460,8974,0.794,0,0.397,P4HA2_HUMAN Prolyl 4-hydroxylase subunit alpha-2 precursor,P4HA2,UNQ290/PRO330
GP120,Q13283,10146,0,0.784,0.392,G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1,G3BP1,G3BP
GP120,O00231,5717,0.781,0,0.39,**PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11,PSMD11,-
GP120,P68431,8351; 8354; 8350; 8353; 8355; 8352; 8358; 8356; 8357; 8968,0,0.772,0.386,H31_HUMAN Histone H3.1,HIST1H3x,H3FJ; H3FC; HIST1H3C; HIST1H3I; HIST1H3G; HIST1H3B; HIST1H3H; HIST1H3A; H3FI; H3FA; H3FB; H3FF; H3FD; HIST1H3E; HIST1H3F; HIST1H3J; H3FH; HIST1H3D; H3FL; H3FK
GP120,Q9UI08,51466,0,0.765,0.382,EVL_HUMAN Ena/VASP-like protein,EVL,RNB6
GP41,19172954,-,0.987,0.93,0.959,NP_579895 gp41_HIV-1,-,-
GP41,Q96DZ1,27248,0.886,0.856,0.871,XTP3B_HUMAN XTP3-transactivated gene B protein precursor = ERLEC1,ERLEC1,XTP3TPB; C2orf30; UNQ1878/PRO4321
GP41,Q9NYU2,56886,0.769,0.932,0.851,UGGG1_HUMAN UDP-glucose:glycoprotein glucosyltransferase 1 precursor,UGGT1,GT; UGT1; UGGT; UGTR; UGCGL1
GP41,P49257,3998,0.876,0.827,0.851,LMAN1_HUMAN Protein ERGIC-53 precursor,LMAN1,ERGIC53; F5F8D
GP41,Q9UBV2,6400,0.849,0.835,0.842,SE1L1_HUMAN Protein sel-1 homolog 1 precursor = SEL1L,SEL1L,TSA305; UNQ128/PRO1063
GP41,P35232,5245,0.843,0.835,0.839,**PHB_HUMAN Prohibitin,PHB,-
GP41,Q9Y5L4,26517,0.701,0.903,0.802,TIM13_HUMAN Mitochondrial import inner membrane translocase subunit Tim13,TIMM13,TIMM13B; TIMM13A; TIM13B
GP41,P21796,7416,0.887,0.712,0.8,**VDAC1_HUMAN Voltage-dependent anion-selective channel protein 1,VDAC1,VDAC
GP41,Q99623,11331,0.835,0.759,0.797,**PHB2_HUMAN Prohibitin-2,PHB2,REA; BAP
GP41,O94919,23052,0.77,0.815,0.792,ENDD1_HUMAN Endonuclease domain-containing 1 protein precursor,ENDOD1,KIAA0830
GP41,P45880,7417,0.915,0.633,0.774,**VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2,VDAC2,-
GP41,O75955,10211,0.77,0.771,0.77,FLOT1_HUMAN Flotillin-1,FLOT1,-
GP41,P13073,1327,0.764,0.64,0.702,"COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial precursor",COX4I1,COX4
GP41,P30101,2923,0.806,0.441,0.624,PDIA3_HUMAN Protein disulfide-isomerase A3 precursor,PDIA3,ERP57; GRP58; ERP60
GP41,Q9P035,51495,0.199,0.809,0.504,**PTAD1_HUMAN Protein tyrosine phosphatase-like protein PTPLAD1,PTPLAD1,BIND1; HACD3
GP41,O00264,10857,0.243,0.764,0.503,**PGRC1_HUMAN Membrane-associated progesterone receptor component 1,PGRMC1,PGRMC; HPR6.6
GP41,P55072,7415,0.846,0.111,0.478,**TERA_HUMAN Transitional endoplasmic reticulum ATPase = VCP,VCP,-
GP41,Q9UJZ1,30968,0.893,0,0.447,STML2_Stomatin-like protein 2,STOML2,HSPC108; SLP2
GP41,Q9Y277,7419,0.89,0,0.445,VDAC3_HUMAN Voltage-dependent anion-selective channel protein 3,VDAC3,-
GP41,P14314,5589,0,0.886,0.443,GLU2B_HUMAN Glucosidase 2 subunit beta precursor = PRKCSH,PRKCSH,G19P1
GP41,Q96R06,10615,0,0.867,0.434,SPAG5_HUMAN Sperm-associated antigen 5 = astrin,SPAG5,-
GP41,O60220,1678,0,0.861,0.431,TIM8A_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 A,TIMM8A,DDP1; DDP
GP41,Q12907,10960,0.86,0,0.43,LMAN2_HUMAN Vesicular integral-membrane protein VIP36 precursor,LMAN2,C5orf8
GP41,Q07065,10970,0.855,0,0.428,CKAP4_HUMAN Cytoskeleton-associated protein 4 = ERGIC-63,CKAP4,-
GP41,P14854,1340,0.849,0,0.425,CX6B1_HUMAN Cytochrome c oxidase subunit VIb isoform 1,COX6B1,COX6B
GP41,Q9P0L0,9218,0,0.844,0.422,VAPA_HUMAN Vesicle-associated membrane protein-associated protein A,VAPA,VAP33
GP41,P61009,60559,0,0.831,0.416,SPCS3_HUMAN Signal peptidase complex subunit 3,SPCS3,SPC22; UNQ1841/PRO3567
GP41,O15260,6836,0,0.82,0.41,SURF4_HUMAN Surfeit locus protein 4,SURF4,SURF-4
GP41,Q9Y5J9,26521,0,0.813,0.407,TIM8B_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 B,TIMM8B,DDPL; DDP2
GP41,P48426,5305,0,0.81,0.405,PI42A_HUMAN Phosphatidylinositol-5-phosphate 4-kinase type-2 alpha,PIP4K2A,PIP5K2; PIP5K2A
GP41,Q9NVV0,55151,0,0.81,0.405,TM38B_HUMAN Trimeric intracellular cation channel type B,TMEM38B,C9orf87
GP41,Q8N766,23065,0,0.808,0.404,K0090_HUMAN Uncharacterized protein KIAA0090 precursor,KIAA0090,PSEC0263
GP41,O15162,5359,0.805,0,0.403,PLS1_HUMAN Phospholipid scramblase 1,PLSCR1,-
GP41,P08134,389,0,0.807,0.403,RHOC_HUMAN Rho-related GTP-binding protein RhoC precursor,RHOC,ARH9; ARHC
GP41,Q8N4V1,93380,0.797,0,0.399,TMM32_HUMAN Transmembrane protein 32 precursor,MMGT1,TMEM32
GP41,Q13162,10549,0.79,0,0.395,PRDX4_HUMAN Peroxiredoxin-4,PRDX4,-
GP41,Q9Y3P9,23637,0,0.791,0.395,RBGP1_HUMAN Rab GTPase-activating protein 1,RABGAP1,HSPC094
GP41,P51572,10134,0,0.789,0.394,BAP31_HUMAN B-cell receptor-associated protein 31,BCAP31,DXS1357E; BCAP31
GP41,Q8NBS9,81567,0.781,0,0.39,TXND5_HUMAN Thioredoxin domain-containing protein 5 precursor,TXNDC5,UNQ364/PRO700; TLP46
GP41,Q15005,9789,0,0.778,0.389,SPCS2_HUMAN Signal peptidase complex subunit 2,SPCS2,KIAA0102; SPC25
GP41,Q8IYS2,90231,0.778,0,0.389,K2013_HUMAN Uncharacterized protein KIAA2013 precursor,KIAA2013,-
GP41,O96000,4716,0.776,0,0.388,**NDUBA_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,-
GP41,Q6DD88,25923,0,0.774,0.387,ATLA3_HUMAN Atlastin-3,ATL3,-
GP41,P20674,9377,0.775,0,0.387,"COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial precursor",COX5A,-
GP41,Q9NRD1,26270,0.772,0,0.386,FBX6_HUMAN F-box only protein 6,FBXO6,FBG2; FBS2
GP41,Q96AJ9,143187,0,0.768,0.384,VTI1A_HUMAN Vesicle transport through interaction with t-SNAREs homolog 1A,VTI1A,-
GP41,O96008,10452,0.762,0,0.381,TOM40_HUMAN Mitochondrial import receptor subunit TOM40 homolog,TOMM40,C19orf1; PEREC1
GP41,Q92896,2734,0,0.762,0.381,GSLG1_HUMAN Golgi apparatus protein 1 precursor,GLG1,ESL1; MG160; CFR1
GP41,Q96IV0,55768,0,0.756,0.378,NGLY1_HUMAN Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,NGLY1,PNG1
GP41,Q99442,7095,0,0.751,0.376,SEC62_HUMAN Translocation protein SEC62,SEC62,TLOC1
GP41,O15258,11079,0,0.753,0.376,RER1_HUMAN Protein RER1,RER1,-
