Search Name:	timsTOF_JX_Mouse_10ng_90min_msconvert/results1
			timsTOF_JX_Mouse_10ng_90min_msconvert/results1					
[860]		P17426	AP2A1_MOUSE	5	5.9	3.0e-6	107665.0	MOUSE	AP-2 complex subunit alpha-1
[861]		P14115	RL27A_MOUSE	5	31.1	9.7e-6	16605.6	MOUSE	60S ribosomal protein L27a
[862]		P99027	RLA2_MOUSE	2	24.3	1.1e-6	11651.0	MOUSE	60S acidic ribosomal protein P2
[863]		Q9CXY6	ILF2_MOUSE	4	11.3	3.9e-6	43062.5	MOUSE	Interleukin enhancer-binding factor 2
[864]		Q8BRT1	CLAP2_MOUSE	1	1.2	1.7e-8	140740.1	MOUSE	CLIP-associating protein 2
[865]		Q6A068	CDC5L_MOUSE	3	4.0	1.0e-5	92190.3	MOUSE	Cell division cycle 5-like protein
[866]		P01837	IGKC_MOUSE	1	13.2	1.4e-8	11778.0	MOUSE	Ig kappa chain C region
[867]		Q9CPT5	NOP16_MOUSE	1	6.2	7.4e-10	21139.4	MOUSE	Nucleolar protein 16
[868]		P11440	CDK1_MOUSE	4	16.2	2.1e-5	34106.9	MOUSE	Cyclin-dependent kinase 1
[869]		Q99KE1	MAOM_MOUSE	2	4.8	8.9e-7	65799.6	MOUSE	NAD-dependent malic enzyme, mitochondrial
[870]		O08795	GLU2B_MOUSE	5	9.8	1.8e-5	58793.3	MOUSE	Glucosidase 2 subunit beta
[871]		O54890	ITB3_MOUSE	3	5.2	7.8e-7	86739.3	MOUSE	Integrin beta-3
[872]		P30993	C5AR1_MOUSE	1	3.4	3.6e-9	39023.5	MOUSE	C5a anaphylatoxin chemotactic receptor 1
[873]		O08759	UBE3A_MOUSE	1	2.1	8.9e-10	99820.4	MOUSE	Ubiquitin-protein ligase E3A
[874]		C0HKD8	MFA1A_MOUSE	2	6.2	1.3e-7	51954.9	MOUSE	Microfibrillar-associated protein 1A
[875]		Q9D0M1	KPRA_MOUSE	2	7.6	3.1e-8	39432.2	MOUSE	Phosphoribosyl pyrophosphate synthase-associated protein 1
[876]		P21460	CYTC_MOUSE	2	19.3	1.1e-7	15531.0	MOUSE	Cystatin-C
[877]		P51125	ICAL_MOUSE	2	4.4	1.1e-6	84922.4	MOUSE	Calpastatin
[878]		Q8CB87	RAB44_MOUSE	2	4.3	7.3e-8	78237.1	MOUSE	Ras-related protein Rab-44
[879]		P46638	RB11B_MOUSE	3	14.2	2.6e-6	24489.7	MOUSE	Ras-related protein Rab-11B
[880]		P08775	RPB1_MOUSE	4	2.7	1.7e-6	217178.1	MOUSE	DNA-directed RNA polymerase II subunit RPB1
[881]		P11352	GPX1_MOUSE	5	23.9	1.1e-5	22329.5	MOUSE	Glutathione peroxidase 1
[882]		P23591	FCL_MOUSE	2	8.4	1.8e-7	35877.9	MOUSE	GDP-L-fucose synthase
[883]		Q9JL35	HMGN5_MOUSE	3	9.1	1.4e-6	45344.0	MOUSE	High mobility group nucleosome-binding domain-containing protein 5
[884]		Q922K7	NOP2_MOUSE	2	3.7	2.9e-7	86752.5	MOUSE	Probable 28S rRNA (cytosine-C(5))-methyltransferase
[885]		Q8VDP4	CCAR2_MOUSE	6	9.3	4.3e-6	103003.2	MOUSE	Cell cycle and apoptosis regulator protein 2
[886]		O09167	RL21_MOUSE	4	26.2	2.5e-7	18562.0	MOUSE	60S ribosomal protein L21
[887]		Q60676	PPP5_MOUSE	1	2.6	1.3e-8	56877.2	MOUSE	Serine/threonine-protein phosphatase 5
[888]		Q9CYL5	GAPR1_MOUSE	3	27.9	3.9e-6	17090.3	MOUSE	Golgi-associated plant pathogenesis-related protein 1
[889]		Q8CI59	STEA3_MOUSE	3	6.6	1.7e-6	54749.5	MOUSE	Metalloreductase STEAP3
[890]		Q9Z0P4	PALM_MOUSE	2	9.4	2.4e-7	41614.7	MOUSE	Paralemmin-1
[891]		Q4FJU9	TMM40_MOUSE	1	8.0	1.6e-9	24925.7	MOUSE	Transmembrane protein 40
[892]		Q9QXK3	COPG2_MOUSE	3	3.9	5.8e-7	97681.4	MOUSE	Coatomer subunit gamma-2
[893]		Q60875	ARHG2_MOUSE	4	5.1	4.4e-6	111975.3	MOUSE	Rho guanine nucleotide exchange factor 2
[894]		Q9CPV4	GLOD4_MOUSE	3	12.1	2.0e-6	33317.0	MOUSE	Glyoxalase domain-containing protein 4
[895]		O55222	ILK_MOUSE	3	7.1	7.8e-6	51373.7	MOUSE	Integrin-linked protein kinase
[896]		Q3UVK0	ERMP1_MOUSE	3	2.7	1.1e-6	100149.2	MOUSE	Endoplasmic reticulum metallopeptidase 1
[897]		O08579	EMD_MOUSE	3	12.7	1.3e-7	29435.8	MOUSE	Emerin
[898]		Q8JZX4	SPF45_MOUSE	2	6.2	2.7e-7	45304.2	MOUSE	Splicing factor 45
[899]		Q9CPW4	ARPC5_MOUSE	4	29.1	5.3e-7	16288.5	MOUSE	Actin-related protein 2/3 complex subunit 5
[900]		P28867	KPCD_MOUSE	5	7.1	1.0e-5	77548.0	MOUSE	Protein kinase C delta type
[901]		Q9Z0M6	CD97_MOUSE	2	3.5	2.0e-6	90414.3	MOUSE	CD97 antigen
[902]		Q9D024	CCD47_MOUSE	2	2.9	2.5e-8	55844.3	MOUSE	Coiled-coil domain-containing protein 47
[903]		Q8BGH2	SAM50_MOUSE	2	5.1	2.7e-6	51864.4	MOUSE	Sorting and assembly machinery component 50 homolog
[904]		Q9R007	CLC5A_MOUSE	1	6.3	4.7e-9	21695.8	MOUSE	C-type lectin domain family 5 member A
[905]		Q9D0F6	RFC5_MOUSE	1	4.4	3.2e-8	38096.5	MOUSE	Replication factor C subunit 5
[906]		Q62448	IF4G2_MOUSE	3	4.9	1.5e-6	102106.4	MOUSE	Eukaryotic translation initiation factor 4 gamma 2
[907]		Q9QYB5	ADDG_MOUSE	4	7.8	3.6e-5	78777.7	MOUSE	Gamma-adducin
[908]		Q9Z110	P5CS_MOUSE	3	4.3	2.6e-6	87267.0	MOUSE	Delta-1-pyrroline-5-carboxylate synthase
[909]		P17095	HMGA1_MOUSE	2	15.0	2.1e-5	11614.1	MOUSE	High mobility group protein HMG-I/HMG-Y
[910]		P70349	HINT1_MOUSE	2	17.5	6.4e-7	13777.0	MOUSE	Histidine triad nucleotide-binding protein 1
[911]		Q3TDN2	FAF2_MOUSE	1	3.6	3.2e-8	52471.8	MOUSE	FAS-associated factor 2
[912]		Q9WV70	NOC2L_MOUSE	1	2.3	2.4e-9	85424.9	MOUSE	Nucleolar complex protein 2 homolog
[913]		Q99LC3	NDUAA_MOUSE	3	9.3	4.2e-7	40603.8	MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
[914]		Q8VDP3	MICA1_MOUSE	4	5.6	1.6e-5	116785.7	MOUSE	[F-actin]-methionine sulfoxide oxidase MICAL1
[915]		Q99PL5	RRBP1_MOUSE	5	3.7	7.3e-6	172880.5	MOUSE	Ribosome-binding protein 1
[916]		Q6NZB0	DNJC8_MOUSE	2	13.0	1.3e-6	29812.8	MOUSE	DnaJ homolog subfamily C member 8
[917]		Q9JM76	ARPC3_MOUSE	3	20.2	6.0e-5	20524.9	MOUSE	Actin-related protein 2/3 complex subunit 3
[918]		Q80VJ3	DNPH1_MOUSE	1	8.1	1.5e-8	18977.7	MOUSE	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
[919]		P52293	IMA1_MOUSE	2	4.9	2.8e-6	57928.6	MOUSE	Importin subunit alpha-1
[920]		P51881	ADT2_MOUSE	6	20.1	7.6e-6	32931.6	MOUSE	ADP/ATP translocase 2
[920-1]	1	P48962	ADT1_MOUSE	3	9.4	9.2e-4	32904.6	MOUSE	ADP/ATP translocase 1
[921]		Q9CY64	BIEA_MOUSE	4	15.9	6.5e-6	33524.8	MOUSE	Biliverdin reductase A
[922]		O55098	STK10_MOUSE	2	2.5	2.9e-6	111906.7	MOUSE	Serine/threonine-protein kinase 10
[923]		P54775	PRS6B_MOUSE	2	2.6	4.2e-6	47408.7	MOUSE	26S protease regulatory subunit 6B
[924]		Q9EPU0	RENT1_MOUSE	3	3.0	2.0e-6	123967.9	MOUSE	Regulator of nonsense transcripts 1
[925]		Q9JHS9	CWC15_MOUSE	4	15.7	2.8e-5	26624.5	MOUSE	Spliceosome-associated protein CWC15 homolog
[926]		Q8CDM1	ATAD2_MOUSE	2	2.9	1.1e-6	117944.3	MOUSE	ATPase family AAA domain-containing protein 2
[927]		Q921G6	LRCH4_MOUSE	1	2.9	1.8e-7	73163.6	MOUSE	Leucine-rich repeat and calponin homology domain-containing protein 4
[928]		Q9JHK5	PLEK_MOUSE	1	4.0	9.3e-8	39901.0	MOUSE	Pleckstrin
[929]		P27612	PLAP_MOUSE	2	4.0	5.1e-7	87221.9	MOUSE	Phospholipase A-2-activating protein
[930]		O35685	NUDC_MOUSE	5	15.4	4.2e-5	38358.3	MOUSE	Nuclear migration protein nudC
[931]		P01872	IGHM_MOUSE	3	9.0	7.0e-7	49972.4	MOUSE	Ig mu chain C region
[932]		P68404	KPCB_MOUSE	2	4.8	1.6e-6	76751.6	MOUSE	Protein kinase C beta type
[933]		Q9D824	FIP1_MOUSE	2	4.6	1.6e-5	64959.2	MOUSE	Pre-mRNA 3'-end-processing factor FIP1
[934]		Q9ERL7	GMFG_MOUSE	3	21.1	2.3e-6	16748.5	MOUSE	Glia maturation factor gamma
[935]		Q3TGF2	F107B_MOUSE	2	17.6	6.7e-7	15571.8	MOUSE	Protein FAM107B
[936]		P97450	ATP5J_MOUSE	4	39.8	1.4e-5	12496.5	MOUSE	ATP synthase-coupling factor 6, mitochondrial
[937]		Q8VCF0	MAVS_MOUSE	1	3.0	1.9e-7	53399.3	MOUSE	Mitochondrial antiviral-signaling protein
[938]		P10852	4F2_MOUSE	5	11.6	1.5e-4	58337.0	MOUSE	4F2 cell-surface antigen heavy chain
[939]		Q6NV83	SR140_MOUSE	2	2.1	1.3e-6	118261.7	MOUSE	U2 snRNP-associated SURP motif-containing protein
[940]		Q9DAK9	PHP14_MOUSE	1	9.7	1.7e-8	13996.7	MOUSE	14 kDa phosphohistidine phosphatase
[941]		P28667	MRP_MOUSE	1	7.5	3.0e-8	20165.6	MOUSE	MARCKS-related protein
[942]		P61089	UBE2N_MOUSE	3	20.4	2.4e-5	17138.0	MOUSE	Ubiquitin-conjugating enzyme E2 N
[943]		Q61543	GSLG1_MOUSE	2	1.8	4.0e-6	133735.2	MOUSE	Golgi apparatus protein 1
[944]		Q91ZA3	PCCA_MOUSE	1	2.1	3.8e-8	79922.5	MOUSE	Propionyl-CoA carboxylase alpha chain, mitochondrial
[945]		Q99NB1	ACS2L_MOUSE	3	5.0	6.8e-7	74624.0	MOUSE	Acetyl-coenzyme A synthetase 2-like, mitochondrial
[946]		Q8K1K6	SPB10_MOUSE	3	8.8	5.4e-7	45115.9	MOUSE	Serpin B10
[947]		Q8JZN5	ACAD9_MOUSE	3	5.3	1.4e-6	68722.7	MOUSE	Acyl-CoA dehydrogenase family member 9, mitochondrial
[948]		Q91VD9	NDUS1_MOUSE	5	8.0	3.5e-6	79777.6	MOUSE	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
[949]		Q8R4R6	NUP53_MOUSE	3	11.7	4.0e-6	34786.0	MOUSE	Nucleoporin NUP53
[950]		Q8R4K2	IRAK4_MOUSE	1	3.7	3.6e-8	50872.2	MOUSE	Interleukin-1 receptor-associated kinase 4
[951]		P11157	RIR2_MOUSE	2	6.4	1.1e-6	45096.1	MOUSE	Ribonucleoside-diphosphate reductase subunit M2
[952]		Q9JJZ6	KLF13_MOUSE	1	5.9	2.0e-7	31136.2	MOUSE	Krueppel-like factor 13
[953]		Q9CRB9	MIC19_MOUSE	4	17.6	1.0e-4	26334.7	MOUSE	MICOS complex subunit Mic19
[954]		Q8BWY3	ERF1_MOUSE	3	8.2	4.1e-6	49031.3	MOUSE	Eukaryotic peptide chain release factor subunit 1
[955]		P48036	ANXA5_MOUSE	3	9.4	2.2e-6	35752.7	MOUSE	Annexin A5
[956]		P97814	PPIP1_MOUSE	1	4.6	6.0e-7	47590.6	MOUSE	Proline-serine-threonine phosphatase-interacting protein 1
[957]		P56376	ACYP1_MOUSE	2	22.2	6.5e-6	11240.8	MOUSE	Acylphosphatase-1
[958]		Q8CGF7	TCRG1_MOUSE	2	2.2	9.4e-6	123789.0	MOUSE	Transcription elongation regulator 1
[959]		P32020	NLTP_MOUSE	7	11.5	2.2e-4	59126.2	MOUSE	Non-specific lipid-transfer protein
[960]		Q61035	SYHC_MOUSE	3	6.7	3.1e-6	57432.8	MOUSE	Histidine--tRNA ligase, cytoplasmic
[961]		Q5EG47	AAPK1_MOUSE	1	3.0	2.6e-8	63929.8	MOUSE	5'-AMP-activated protein kinase catalytic subunit alpha-1
[962]		P37913	DNLI1_MOUSE	4	5.0	3.5e-6	102290.4	MOUSE	DNA ligase 1
[963]		O70325	GPX41_MOUSE	3	17.8	2.3e-6	22228.9	MOUSE	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial
[964]		Q9JMD0	ZN207_MOUSE	3	8.5	5.6e-6	52793.4	MOUSE	BUB3-interacting and GLEBS motif-containing protein ZNF207
[965]		Q9JJI8	RL38_MOUSE	1	17.1	4.8e-7	8203.9	MOUSE	60S ribosomal protein L38
[966]		Q922Q4	P5CR2_MOUSE	3	11.2	2.7e-7	33659.4	MOUSE	Pyrroline-5-carboxylate reductase 2
[967]		Q8VBT0	TMX1_MOUSE	2	9.0	2.5e-5	31396.1	MOUSE	Thioredoxin-related transmembrane protein 1
[968]		Q9CRD2	EMC2_MOUSE	1	3.4	8.2e-9	34935.0	MOUSE	ER membrane protein complex subunit 2
[969]		Q9D0M3	CY1_MOUSE	2	7.7	1.4e-7	35328.0	MOUSE	Cytochrome c1, heme protein, mitochondrial
[970]		O70194	EIF3D_MOUSE	5	8.2	9.7e-5	63989.3	MOUSE	Eukaryotic translation initiation factor 3 subunit D
[971]		Q9D787	PPIL2_MOUSE	1	3.1	5.2e-7	59065.1	MOUSE	Peptidyl-prolyl cis-trans isomerase-like 2
[972]		Q3UEB3	PUF60_MOUSE	3	6.2	1.0e-5	60249.4	MOUSE	Poly(U)-binding-splicing factor PUF60
[973]		Q99KB8	GLO2_MOUSE	2	9.1	7.6e-7	34084.4	MOUSE	Hydroxyacylglutathione hydrolase, mitochondrial
[974]		Q6P9R2	OXSR1_MOUSE	2	4.9	6.4e-7	58214.0	MOUSE	Serine/threonine-protein kinase OSR1
[975]		Q99JX3	GORS2_MOUSE	1	2.7	1.5e-8	47038.7	MOUSE	Golgi reassembly-stacking protein 2
[976]		O35887	CALU_MOUSE	2	7.3	1.8e-7	37064.0	MOUSE	Calumenin
[977]		Q8BPB0	MOB1B_MOUSE	3	17.1	7.2e-7	25091.0	MOUSE	MOB kinase activator 1B
[978]		P70290	EM55_MOUSE	2	6.7	3.5e-7	52227.6	MOUSE	55 kDa erythrocyte membrane protein
[979]		Q9WTX5	SKP1_MOUSE	1	7.4	5.0e-8	18672.2	MOUSE	S-phase kinase-associated protein 1
[980]		P26883	FKB1A_MOUSE	2	28.7	1.9e-6	11922.7	MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP1A
[981]		P97765	WBP2_MOUSE	1	5.4	2.6e-8	28032.3	MOUSE	WW domain-binding protein 2
[982]		Q9CPQ3	TOM22_MOUSE	1	8.5	1.8e-7	15536.9	MOUSE	Mitochondrial import receptor subunit TOM22 homolog
[983]		Q62186	SSRD_MOUSE	2	13.4	4.6e-6	18936.7	MOUSE	Translocon-associated protein subunit delta
[984]		Q62348	TSN_MOUSE	3	11.4	5.3e-5	26201.1	MOUSE	Translin
[985]		P61082	UBC12_MOUSE	3	17.5	3.7e-6	20900.2	MOUSE	NEDD8-conjugating enzyme Ubc12
[986]		P97315	CSRP1_MOUSE	2	14.0	4.9e-7	20583.6	MOUSE	Cysteine and glycine-rich protein 1
[987]		Q9JMH6	TRXR1_MOUSE	3	5.4	6.2e-5	67084.4	MOUSE	Thioredoxin reductase 1, cytoplasmic
[988]		P47964	RL36_MOUSE	3	18.1	2.0e-6	12215.6	MOUSE	60S ribosomal protein L36
[989]		P62267	RS23_MOUSE	2	15.4	2.8e-6	15807.7	MOUSE	40S ribosomal protein S23
[990]		Q9DB91	MED29_MOUSE	2	8.5	9.7e-7	21011.0	MOUSE	Mediator of RNA polymerase II transcription subunit 29
[991]		P63254	CRIP1_MOUSE	4	59.7	1.1e-6	8549.9	MOUSE	Cysteine-rich protein 1
[992]		Q9CXL3	CG050_MOUSE	1	7.7	1.4e-8	22168.4	MOUSE	Uncharacterized protein C7orf50 homolog
[993]		Q60520	SIN3A_MOUSE	3	3.0	7.9e-6	145089.2	MOUSE	Paired amphipathic helix protein Sin3a
[994]		Q75VT8	HIDE1_MOUSE	1	6.8	5.7e-8	23593.9	MOUSE	Protein HIDE1
[995]		Q9D1L0	CHCH2_MOUSE	1	8.5	2.6e-7	15660.9	MOUSE	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
[996]		Q9ERR7	SEP15_MOUSE	1	7.4	5.3e-8	17806.7	MOUSE	Selenoprotein F
[997]		Q8CCS6	PABP2_MOUSE	2	8.9	6.7e-8	32296.8	MOUSE	Polyadenylate-binding protein 2
[998]		Q9Z0L8	GGH_MOUSE	2	7.9	2.9e-5	35469.8	MOUSE	Gamma-glutamyl hydrolase
[999]		Q3UGC7	EI3JA_MOUSE	2	8.8	1.8e-6	29343.9	MOUSE	Eukaryotic translation initiation factor 3 subunit J-A
[1000]		Q9CSU0	RPR1B_MOUSE	2	6.7	3.1e-6	36884.0	MOUSE	Regulation of nuclear pre-mRNA domain-containing protein 1B
[1001]		Q6PZD9	CEBPE_MOUSE	2	8.9	1.1e-5	30616.9	MOUSE	CCAAT/enhancer-binding protein epsilon
[1002]		P31786	ACBP_MOUSE	2	32.2	7.6e-6	10000.5	MOUSE	Acyl-CoA-binding protein
[1003]		Q6P2B1	TNPO3_MOUSE	2	2.7	3.2e-7	104171.4	MOUSE	Transportin-3
[1004]		Q9CYG7	TOM34_MOUSE	3	13.3	2.2e-6	34278.3	MOUSE	Mitochondrial import receptor subunit TOM34
[1005]		Q9QWR8	NAGAB_MOUSE	3	6.7	3.5e-5	47235.1	MOUSE	Alpha-N-acetylgalactosaminidase
[1006]		P22907	HEM3_MOUSE	2	8.0	4.5e-7	39344.7	MOUSE	Porphobilinogen deaminase
[1007]		Q99LE6	ABCF2_MOUSE	2	3.8	1.7e-6	71782.4	MOUSE	ATP-binding cassette sub-family F member 2
[1008]		Q8VEE4	RFA1_MOUSE	2	3.5	1.4e-8	69037.8	MOUSE	Replication protein A 70 kDa DNA-binding subunit
[1009]		P70302	STIM1_MOUSE	3	6.7	2.3e-6	77567.3	MOUSE	Stromal interaction molecule 1
[1010]		O88685	PRS6A_MOUSE	4	9.3	4.7e-7	49549.4	MOUSE	26S protease regulatory subunit 6A
[1011]		P27048	RSMB_MOUSE	3	9.5	1.9e-6	23656.2	MOUSE	Small nuclear ribonucleoprotein-associated protein B
[1012]		Q922J3	CLIP1_MOUSE	2	2.3	1.4e-7	155815.2	MOUSE	CAP-Gly domain-containing linker protein 1
[1013]		O88532	ZFR_MOUSE	3	4.3	7.4e-6	116859.8	MOUSE	Zinc finger RNA-binding protein
[1014]		Q9QZ23	NFU1_MOUSE	1	6.3	1.5e-8	28567.9	MOUSE	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
[1015]		P55194	3BP1_MOUSE	1	2.3	5.0e-8	65285.7	MOUSE	SH3 domain-binding protein 1
[1016]		P56212	ARP19_MOUSE	2	23.2	2.8e-7	12293.1	MOUSE	cAMP-regulated phosphoprotein 19
[1016-1]	1	P60840	ENSA_MOUSE	2	20.7	2.8e-7	13335.1	MOUSE	Alpha-endosulfine
[1016-2]	1	P60840-2	ENSA_MOUSE	2	21.4	2.8e-7	12921.6	MOUSE	Isoform 2 of Alpha-endosulfine
[1017]		Q4VA53	PDS5B_MOUSE	3	3.0	4.0e-5	164420.5	MOUSE	Sister chromatid cohesion protein PDS5 homolog B
[1018]		Q8BH59	CMC1_MOUSE	4	6.6	2.5e-4	74570.2	MOUSE	Calcium-binding mitochondrial carrier protein Aralar1
[1019]		O88271	CFDP1_MOUSE	1	5.4	1.2e-7	32921.5	MOUSE	Craniofacial development protein 1
[1020]		P09541	MYL4_MOUSE	3	17.1	1.9e-5	21159.2	MOUSE	Myosin light chain 4
[1021]		Q91VW3	SH3L3_MOUSE	2	26.9	1.3e-6	10476.8	MOUSE	SH3 domain-binding glutamic acid-rich-like protein 3
[1022]		Q9R0P9	UCHL1_MOUSE	1	8.1	2.0e-7	24838.5	MOUSE	Ubiquitin carboxyl-terminal hydrolase isozyme L1
[1023]		Q922Q8	LRC59_MOUSE	3	10.7	2.1e-5	34877.7	MOUSE	Leucine-rich repeat-containing protein 59
[1024]		Q9CXI5	MANF_MOUSE	2	15.1	1.0e-5	20373.9	MOUSE	Mesencephalic astrocyte-derived neurotrophic factor
[1025]		P63094-3	GNAS2_MOUSE	1	4.4	2.7e-8	41818.7	MOUSE	Isoform Gnas-3 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
[1026]		A3KGF7	PLCB2_MOUSE	2	2.8	7.6e-7	134547.7	MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2
[1027]		O09131	GSTO1_MOUSE	3	16.7	1.0e-6	27497.9	MOUSE	Glutathione S-transferase omega-1
[1028]		P54728	RD23B_MOUSE	2	5.0	1.0e-6	43513.0	MOUSE	UV excision repair protein RAD23 homolog B
[1029]		Q8WTY4	CPIN1_MOUSE	2	7.8	3.7e-5	33429.2	MOUSE	Anamorsin
[1030]		Q8BG81	PDIP3_MOUSE	1	4.0	1.3e-7	46132.9	MOUSE	Polymerase delta-interacting protein 3
[1031]		Q9Z0X1	AIFM1_MOUSE	3	6.0	1.7e-5	66766.1	MOUSE	Apoptosis-inducing factor 1, mitochondrial
[1032]		Q8R480	NUP85_MOUSE	2	3.8	5.9e-9	74777.0	MOUSE	Nuclear pore complex protein Nup85
[1033]		Q9D8V0	HM13_MOUSE	3	9.5	9.3e-6	41747.9	MOUSE	Minor histocompatibility antigen H13
[1034]		P28659	CELF1_MOUSE	1	2.7	5.0e-7	52107.7	MOUSE	CUGBP Elav-like family member 1
[1035]		Q921T2	TOIP1_MOUSE	2	4.9	1.1e-5	66781.7	MOUSE	Torsin-1A-interacting protein 1
[1036]		Q8CCF0	PRP31_MOUSE	2	5.2	2.4e-5	55430.4	MOUSE	U4/U6 small nuclear ribonucleoprotein Prp31
[1037]		O35601	FYB_MOUSE	2	3.2	1.7e-5	90056.1	MOUSE	FYN-binding protein
[1038]		Q91XI1	DUS3L_MOUSE	1	3.3	4.5e-8	71079.2	MOUSE	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like
[1039]		Q923D2	BLVRB_MOUSE	2	13.1	7.1e-6	22197.5	MOUSE	Flavin reductase (NADPH)
[1040]		Q9Z2I8	SUCB2_MOUSE	2	5.5	5.1e-6	46840.4	MOUSE	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial
[1041]		P97807	FUMH_MOUSE	3	7.7	5.5e-6	54357.2	MOUSE	Fumarate hydratase, mitochondrial
[1042]		Q8BJ64	CHDH_MOUSE	2	4.9	1.5e-6	66415.1	MOUSE	Choline dehydrogenase, mitochondrial
[1043]		Q91ZJ5	UGPA_MOUSE	2	4.7	2.1e-5	56979.8	MOUSE	UTP--glucose-1-phosphate uridylyltransferase
[1044]		Q9QX47	SON_MOUSE	4	2.0	7.0e-7	265653.7	MOUSE	Protein SON
[1045]		P63166	SUMO1_MOUSE	2	28.7	3.3e-5	11557.1	MOUSE	Small ubiquitin-related modifier 1
[1046]		Q8BJW6	EIF2A_MOUSE	3	6.5	5.3e-6	64403.8	MOUSE	Eukaryotic translation initiation factor 2A
[1047]		Q9ES52	SHIP1_MOUSE	3	3.5	5.1e-6	133543.6	MOUSE	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1
[1048]		Q5SUA5	MYO1G_MOUSE	7	6.7	2.4e-5	117228.0	MOUSE	Unconventional myosin-Ig
[1049]		Q5BLK4	TUT7_MOUSE	2	1.3	2.7e-6	169104.0	MOUSE	Terminal uridylyltransferase 7
[1050]		Q923G2	RPAB3_MOUSE	2	19.3	3.4e-5	17143.5	MOUSE	DNA-directed RNA polymerases I, II, and III subunit RPABC3
[1051]		Q63810	CANB1_MOUSE	2	12.9	2.2e-5	19300.1	MOUSE	Calcineurin subunit B type 1
[1052]		Q8R550	SH3K1_MOUSE	2	4.4	3.6e-7	78170.8	MOUSE	SH3 domain-containing kinase-binding protein 1
[1053]		O08547	SC22B_MOUSE	1	6.5	3.4e-6	24740.8	MOUSE	Vesicle-trafficking protein SEC22b
[1054]		Q9JM93	AR6P4_MOUSE	1	7.0	5.4e-8	25524.9	MOUSE	ADP-ribosylation factor-like protein 6-interacting protein 4
[1055]		Q922S4	PDE2A_MOUSE	2	2.3	7.3e-6	103250.0	MOUSE	cGMP-dependent 3',5'-cyclic phosphodiesterase
[1056]		P70335	ROCK1_MOUSE	3	2.8	1.4e-6	158171.9	MOUSE	Rho-associated protein kinase 1
[1057]		Q6A028	SWP70_MOUSE	3	5.0	8.4e-5	68996.5	MOUSE	Switch-associated protein 70
[1058]		P62878	RBX1_MOUSE	2	18.5	2.2e-6	12274.1	MOUSE	E3 ubiquitin-protein ligase RBX1
[1059]		Q9D819	IPYR_MOUSE	2	11.8	1.2e-5	32667.4	MOUSE	Inorganic pyrophosphatase
[1060]		Q62203	SF3A2_MOUSE	2	5.7	1.8e-6	49911.9	MOUSE	Splicing factor 3A subunit 2
[1061]		Q62425	NDUA4_MOUSE	1	12.2	6.2e-8	9326.9	MOUSE	Cytochrome c oxidase subunit NDUFA4
[1062]		Q8BYW1	RHG25_MOUSE	3	5.1	4.6e-5	73383.3	MOUSE	Rho GTPase-activating protein 25
[1063]		Q9CQS8	SC61B_MOUSE	3	38.5	4.0e-5	9958.5	MOUSE	Protein transport protein Sec61 subunit beta
[1064]		Q64253	LY6E_MOUSE	1	10.8	7.9e-7	13800.4	MOUSE	Lymphocyte antigen 6E
[1065]		Q8K2F0	BRD3_MOUSE	3	5.4	1.0e-5	79762.3	MOUSE	Bromodomain-containing protein 3
[1065-1]	2	Q9ESU6	BRD4_MOUSE	3	2.1	5.0e-5	155896.4	MOUSE	Bromodomain-containing protein 4
[1065-2]	1	Q7JJ13	BRD2_MOUSE	2	2.5	5.0e-5	88067.6	MOUSE	Bromodomain-containing protein 2
[1065-3]	1	Q7JJ13-2	BRD2_MOUSE	2	2.7	5.0e-5	83272.0	MOUSE	Isoform 2 of Bromodomain-containing protein 2
[1066]		P22682	CBL_MOUSE	4	5.7	2.2e-5	100564.7	MOUSE	E3 ubiquitin-protein ligase CBL
[1067]		Q9CQR6	PPP6_MOUSE	2	7.5	3.3e-6	35159.6	MOUSE	Serine/threonine-protein phosphatase 6 catalytic subunit
[1068]		P59729	RIN3_MOUSE	1	1.5	7.5e-8	107221.4	MOUSE	Ras and Rab interactor 3
[1069]		Q3V300	KIF22_MOUSE	2	5.9	2.8e-6	73190.4	MOUSE	Kinesin-like protein KIF22
[1070]		O88543	CSN3_MOUSE	2	4.0	3.2e-6	47832.5	MOUSE	COP9 signalosome complex subunit 3
[1071]		Q07813	BAX_MOUSE	1	5.7	1.4e-7	21394.8	MOUSE	Apoptosis regulator BAX
[1072]		Q9CSN1	SNW1_MOUSE	7	15.7	1.9e-5	61476.0	MOUSE	SNW domain-containing protein 1
